question_id,paragraph_id,answers
1,[1],['2003']
2,[1],['Dangerously in Love']
3,[1],['Mathew Knowles']
4,[1],['late 1990s']
5,[1],['lead singer']
6,[1],['2003']
7,[1],['five']
8,[1],['Dangerously in Love']
9,[2],['acting']
10,[2],['Beyoncé']
11,[2],['Cadillac Records']
12,[2],['June 2005']
13,[2],"[""B'Day""]"
14,[2],['Dreamgirls']
15,[2],['Jay Z']
16,[2],['Sasha Fierce']
17,[3],"['love, relationships, and monogamy']"
18,[3],['influential']
19,[3],['2000s']
20,[3],['Forbes']
21,[3],['2013 and 2014']
22,[3],['118 million']
23,[3],['60 million']
24,[3],['118 million']
25,[3],['20']
26,[4],['African-American']
27,[4],['Methodist']
28,[4],['Xerox']
29,[4],['hairdresser and salon owner']
30,[4],['Solange']
31,[4],['Joseph Broussard']
32,[4],['Xerox']
33,[4],['salon']
34,[4],['Solange']
35,[4],['Joseph Broussard.']
36,[5],['Fredericksburg']
37,[5],['Darlette Johnson']
38,[5],['Houston']
39,[5],['dance instructor Darlette Johnson']
40,[5],['music magnet school']
41,[5],['Fredericksburg']
42,[5],['Darlette Johnson']
43,[5],['seven']
44,[6],"[""Beyoncé's father""]"
45,[6],['Elektra Records']
46,[6],['Sony Music']
47,[6],['Elektra Records']
48,[6],['age eight']
49,[6],['Arne Frager']
50,[6],['1995']
51,[6],"[""Dwayne Wiggins's Grass Roots Entertainment""]"
52,[7],['Men in Black']
53,[7],"['""Say My Name""']"
54,[7],['Marc Nelson']
55,[7],['1996']
56,[7],['Say My Name']
57,[7],['Marc Nelson']
58,[7],['Book of Isaiah.']
59,[7],"['No, No, No']"
60,[7],['Marc Nelson']
61,[8],['boyfriend left her']
62,[8],['split with Luckett and Rober']
63,[8],['her mother']
64,[8],['Farrah Franklin and Michelle Williams.']
65,[8],['Beyoncé']
66,[8],['Farrah Franklin']
67,[9],"['663,000 copies']"
68,[9],['Survivor']
69,[9],['Carmen: A Hip Hopera']
70,[9],['Survivor']
71,[10],"['UK, Norway, and Belgium']"
72,[10],['The Fighting Temptations']
73,[10],['Summertime']
74,[10],['73 million']
75,[10],['Fighting Temptations']
